Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-(2-ethoxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O5S2,663628-45-3,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)CC[N+]1(C)CCCCC1,CCOCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.439,2.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-ethoxyethyl)-1-methylpiperidin-1-ium bromide,C10H22BrNO,663628-44-2,[Br-].O(CC)CC[N+]1(C)CCCCC1,CCOCC[N+]1(C)CCCCC1.[Br-],252.195999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O5S2,757212-03-6,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[N+]1(C)CCCCC1,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,424.385,4.5,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpiperidin-1-ium iodide,C8H18INO,67889-35-4,[I-].OCC[N+]1(C)CCCCC1,C[N+]1(CCO)CCCCC1.[I-],271.142,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,873583-83-6,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CC[N+]1(C)CCCCC1,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,1.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpiperidin-1-ium bromide,C9H20BrNO,886439-37-8,[Br-].O(C)CC[N+]1(C)CCCCC1,COCC[N+]1(C)CCCCC1.[Br-],238.168999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-cyanopropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H19F6N3O4S2,1040381-06-3,N#CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCCC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,447.423,8.581,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-(3-hydroxypropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,1049751-96-3,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[N+]1(C)CCCCC1,C[N+]1(CCCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,4.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-hydroxypropyl)-1-methylpiperidin-1-ium chloride,C9H20ClNO,1334291-67-6,[Cl-].OCCC[N+]1(C)CCCCC1,C[N+]1(CCCO)CCCCC1.[Cl-],193.717999999999,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O5S2,1049751-95-2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CCC[N+]1(C)CCCCC1,COCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452.439,1.9,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpiperidin-1-ium chloride,C10H22ClNO,1012794-04-5,[Cl-].O(C)CCC[N+]1(C)CCCCC1,COCCC[N+]1(C)CCCCC1.[Cl-],207.75,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
"1-(4,5-bis(methylthio)pentyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide",C15H28F6N2O4S4,952417-11-7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.S(C)CC(SC)CCC[N+]1(C)CCCCC1,CSCC(CCC[N+]1(C)CCCCC1)SC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,542.655,3.281,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-(cyanomethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H15F6N3O4S2,1309983-34-3,N#CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,419.369,10,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(cyanomethyl)-1-methylpiperidin-1-ium chloride,C8H15ClN2,194986-67-9,[Cl-].N#CC[N+]1(C)CCCCC1,C[N+]1(CC#N)CCCCC1.[Cl-],174.675,>20,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(ethoxymethyl)-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,1049751-93-0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)C[N+]1(C)CCCCC1,CCOC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,2.6,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(ethoxymethyl)-1-methylpiperidin-1-ium chloride,C9H20ClNO,1012794-08-9,[Cl-].O(CC)C[N+]1(C)CCCCC1,CCOC[N+]1(C)CCCCC1.[Cl-],193.717999999999,17.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,0.853,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,0.55,0.07 (SD),72,HCT-116,MTS,"Kuczak, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.128160,
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,0.202,0.022 (SD),72,MCF-7,MTS,"Kuczak, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.128160,
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,0.101,0.009 (SD),72,U251,MTS,"Kuczak, 2022, J. Hazard. Mater.",10.1016/j.jhazmat.2021.128160,
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,0.32,0.02 (SD),72,NHDF,MTS,"Musiał, 2021, ACS Sustain. Chem. Eng.",10.1021/acssuschemeng.1c02277,
1-butyl-1-methylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C12H22F6N2O4S2,623580-02-9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,436.44,2.6,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-butyl-1-methylpiperidin-1-ium bromide,C10H22BrN,94280-72-5,[Br-].CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.[Br-],236.196999999999,14,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-butyl-1-methylpiperidin-1-ium bromide,C10H22BrN,94280-72-5,[Br-].CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.[Br-],236.196999999999,11,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-butyl-1-methylpiperidin-1-ium bromide,C10H22BrN,94280-72-5,[Br-].CCCC[N+]1(C)CCCCC1,CCCC[N+]1(C)CCCCC1.[Br-],236.196999999999,14,,24,MCF-7,MTT,"Salminen, 2007, Fluid Phase Equilib.",10.1016/j.fluid.2007.06.031,
1-ethyl-1-methylpiperidin-1-ium bromide,C8H18BrN,54644-39-2,[Br-].CC[N+]1(C)CCCCC1,CC[N+]1(C)CCCCC1.[Br-],208.142999999999,20.4574,5.2345 (SEM),24,Sf-9,MTT,"Wu, 2018, J. Hazard. Mater.",10.1016/j.jhazmat.2018.01.028,IC50 (mmol/l)
1-ethyl-1-methylpiperidin-1-ium bromide,C8H18BrN,54644-39-2,[Br-].CC[N+]1(C)CCCCC1,CC[N+]1(C)CCCCC1.[Br-],208.142999999999,15.0956,1.3765 (SEM),48,Sf-9,MTT,"Wu, 2018, J. Hazard. Mater.",10.1016/j.jhazmat.2018.01.028,IC50 (mmol/l)
1-methyl-1-octylpiperidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C16H30F6N2O4S2,887607-28-5,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,492.548,<0.025,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-octylpiperidin-1-ium bromide,C14H30BrN,927021-41-8,[Br-].CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.[Br-],292.305,0.54,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-octylpiperidin-1-ium bromide,C14H30BrN,927021-41-8,[Br-].CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.[Br-],292.305,0.54,,24,MCF-7,MTT,"Salminen, 2007, Fluid Phase Equilib.",10.1016/j.fluid.2007.06.031,
1-methyl-1-octylpiperidin-1-ium tetrafluoroborate,C14H30BF4N,1032100-79-0,F[B-](F)(F)F.CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,299.205,1.153,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-octylpiperidin-1-ium trifluoromethanesulfonate,C15H30F3NO3S,1031253-96-9,O=S(=O)([O-])C(F)(F)F.CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,361.47,1.079,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-octylpiperidin-1-ium  dicyanamide,C16H30N4,1031253-94-7,N#C[N-]C#N.CCCCCCCC[N+]1(C)CCCCC1,CCCCCCCC[N+]1(C)CCCCC1.N#C[N-]C#N,278.444,5.386,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-propylpiperidin-1-ium bromide,C9H20BrN,88840-42-0,[Br-].CCC[N+]1(C)CCCCC1,CCC[N+]1(C)CCCCC1.[Br-],222.169999999999,24.7,,24,MCF-7,MTT,"Kumar, 2008, Environ. Toxicol.",10.1002/tox.20443,"After 24-h incubation, cells were grown for 2 more days, and then the MTT was carried out."
1-methyl-1-propylpiperidin-1-ium bromide,C9H20BrN,88840-42-0,[Br-].CCC[N+]1(C)CCCCC1,CCC[N+]1(C)CCCCC1.[Br-],222.169999999999,24.7,,24,MCF-7,MTT,"Salminen, 2007, Fluid Phase Equilib.",10.1016/j.fluid.2007.06.031,
